1|448|5.04765|4.58229,1.55208;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1113 1123 1111 1133 1111
1|641|5.44959|4.94187,1.80133;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1122 1112 1112 1122 1111
1|872|5.62612|3.11225,2.14263;|1111 1113 1123 1111 1133 1122 1112 1112 1122 1122 1112 1112 1122 1111
2|3|2.8048|4.52738,0.986744;|1111 1112 1122 1314 1324 1111 1334 1111 1344 1112 1122 1111 2311 1111 3311 1111
2|37|7.7635|7.12026,0.915745;|1111 1116 1126 1111 1136 1111 1146 1111 1156 1111 1166 1311 2311 1111 3311 1111
2|205|5.7892|4.53843,1.38812;|1111 1112 1122 1312 1322 1112 1122 1113 1123 1111 1133 1111 2311 1111 3311 1111
2|207|5.7383|4.53839,1.37303;|1111 1112 1122 1312 1322 1112 1122 1123 1133 1111 1113 1111 2311 1111 3311 1111
2|209|5.58341|4.5326,1.78637;4.5326,1.78637;4.55073,1.79155;|1111 1112 1122 1312 1322 1112 1122 1122 1112 1112 1122 1111 2311 1111 3311 1111
2|210|5.42543|4.53817,1.28027;|1111 1112 1122 1312 1322 1113 1123 1112 1122 1111 1133 1111 2311 1111 3311 1111
2|227|2.80497|4.56755,0.975949;|1111 1112 1122 1313 1323 1112 1122 1111 1333 1112 1122 1111 2311 1111 3311 1111
2|228|6.31481|4.53199,1.54476;|1111 1112 1122 1312 1322 1113 1123 1111 1133 1112 1122 1111 2311 1111 3311 1111
2|275|1.9034|5.56755,0.975949;|1111 1122 1112 1313 1323 1112 1122 1111 1333 1112 1122 1111 2311 1111 3311 1111
2|305|1.94167|5.47985,1.10226;|1111 1122 1112 1333 2311 1111 3311 1111 1313 1111 1323 1113 1123 1111 1133 1111
2|320|4.34748|5.46399,1.55059;|1111 1122 1112 1322 2311 1111 3311 1111 1312 1122 1112 1113 1123 1111 1133 1111
2|459|5.7892|4.46399,1.38788;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1133 1113 1111 1123 1111
2|646|5.51828|3.11225,2.10338;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1112 1122 1112 1122 1111 3311 1111
2|684|1.90328|5.52738,0.986744;|1111 1122 1112 1314 1324 1111 1334 1111 1344 1112 1122 1111 2311 1111 3311 1111
2|997|5.56955|3.11225,2.12204;|1111 1113 1123 1111 1133 1122 1112 1122 1112 1112 1122 1311 2311 1111 3311 1111
2|1056|2.64875|4.4688,0.971442;|1111 1112 1122 1333 2311 1111 3311 1111 1313 1111 1323 1123 1133 1111 1113 1111
2|1076|5.43747|2.99497,1.98006;|1111 1113 1123 1111 1133 1133 1113 1311 2311 1112 1122 1111 3311 1111 1123 1111
2|1210|6.33693|4.46399,1.55059;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1113 1123 1111 1133 1111
2|1278|7.28694|4.71124,1.37861;|1111 1112 1122 1144 1114 1112 1122 1311 2311 1111 3311 1111 1124 1111 1134 1111
2|1878|3.4069|4.4206,1.34559;|1111 1112 1122 1333 2311 1111 3311 1111 1313 1122 1112 1112 1122 1111 1323 1111
2|2141|2.04086|5.56755,1.1007;|1111 1122 1112 1313 1323 1111 1333 1113 1123 1111 1133 1111 2311 1111 3311 1111
2|2154|3.5105|5.71124,1.37861;|1111 1122 1112 1144 1114 1112 1122 1311 2311 1111 3311 1111 1124 1111 1134 1111
2|2173|5.71408|3.11225,2.17464;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1111 3311 1122 1112 1112 1122 1111
2|2243|2.86023|4.47985,1.10226;|1111 1112 1122 1333 2311 1111 3311 1111 1313 1111 1323 1113 1123 1111 1133 1111
2|2379|5.88696|4.46399,1.41713;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1144 1114 1111 1124 1111 1134 1111
2|2399|4.74026|4.94187,1.99393;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1311 2311 1112 1122 1111 3311 1111
2|2675|3.22558|4.56776,1.23761;|1111 1112 1122 1313 1323 1111 1333 1112 1122 1112 1122 1111 2311 1111 3311 1111
2|2676|6.22614|4.53876,1.51635;|1111 1112 1122 1312 1322 1112 1122 1112 1122 1112 1122 1111 2311 1111 3311 1111
2|2763|5.43081|4.94187,1.79427;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1312 1322 1111 2311 1111 3311 1111
2|2867|2.80502|4.56789,0.976517;|1111 1112 1122 1313 1323 1122 1112 1111 1333 1112 1122 1111 2311 1111 3311 1111
2|2945|2.86023|4.51608,1.10656;|1111 1112 1122 1313 1323 1133 1113 1111 1123 1111 1333 1111 2311 1111 3311 1111
2|2951|2.64875|4.53457,0.968419;|1111 1112 1122 1313 1323 1123 1133 1111 1113 1111 1333 1111 2311 1111 3311 1111
2|2956|5.6318|3.11225,2.1447;|1111 1113 1123 1111 1133 1122 1112 1112 1122 1112 1122 1311 2311 1111 3311 1111
2|2960|6.33693|4.53201,1.55123;|1111 1112 1122 1312 1322 1112 1122 1133 1113 1111 1123 1111 2311 1111 3311 1111
2|2961|5.88696|4.5385,1.417;|1111 1112 1122 1312 1322 1114 1124 1111 1134 1111 1144 1111 2311 1111 3311 1111
2|3094|5.10359|4.45822,1.59635;4.46399,1.59336;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1122 1112 1112 1122 1111
2|3095|5.7383|4.46399,1.37261;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1123 1133 1111 1113 1111
2|3099|3.96868|5.53843,1.38812;|1111 1122 1112 1312 1322 1112 1122 1113 1123 1111 1133 1111 2311 1111 3311 1111
2|3180|5.43285|2.99497,1.97848;|1111 1113 1123 1111 1133 1122 1112 1122 1112 1311 2311 1111 3311 1112 1122 1111
2|3206|5.3675|4.458,1.70277;4.458,1.70277;4.46399,1.70104;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1112 1122 1112 1122 1111
2|3207|5.84236|4.46399,1.40384;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1133 1113 1111 1123 1112 1122 1111
2|3329|3.00346|4.56755,1.1007;|1111 1112 1122 1313 1323 1111 1333 1113 1123 1111 1133 1111 2311 1111 3311 1111
2|3580|5.43081|4.94187,1.79427;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1322 2311 1111 3311 1111 1312 1111
2|3645|5.39051|4.94187,1.7791;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1311 2312 1111 2322 1111 3311 1111
